week_starting,department,total_team_members,assigned_to_projects,available,capacity_target,actual_capacity,visibility_score,staffing_requests,requests_fulfilled,avg_fulfillment_days,forecast_accuracy
2025-01-06,Engineering,1800,1530,270,85%,85.0%,72%,45,38,4.8,68%
2025-01-06,Product,600,510,90,88%,85.0%,65%,28,22,5.5,62%
2025-01-06,Sales & CS,1200,1020,180,85%,85.0%,70%,52,44,5.2,65%
2025-01-06,Marketing,500,425,75,85%,85.0%,68%,18,14,5.8,60%
2025-01-06,People Ops,400,320,80,80%,80.0%,62%,10,7,6.2,58%
2025-01-13,Engineering,1800,1539,261,85%,85.5%,73%,42,36,4.6,69%
2025-01-13,Product,600,516,84,88%,86.0%,66%,26,21,5.3,63%
2025-01-13,Sales & CS,1200,1032,168,85%,86.0%,71%,49,42,5.0,66%
2025-01-13,Marketing,500,428,73,85%,85.5%,69%,17,14,5.6,61%
2025-01-13,People Ops,400,324,76,80%,81.0%,63%,9,7,6.0,59%
2025-01-20,Engineering,1800,1521,279,85%,84.5%,71%,48,40,5.0,67%
2025-01-20,Product,600,507,93,88%,84.5%,64%,31,24,5.8,61%
2025-01-20,Sales & CS,1200,1014,186,85%,84.5%,69%,56,46,5.4,64%
2025-01-20,Marketing,500,423,78,85%,84.5%,67%,20,16,6.0,59%
2025-01-20,People Ops,400,316,84,80%,79.0%,61%,11,8,6.5,56%
2025-01-27,Engineering,1800,1548,252,85%,86.0%,72%,40,34,4.5,70%
2025-01-27,Product,600,522,78,88%,87.0%,67%,24,20,5.0,65%
2025-01-27,Sales & CS,1200,1044,156,85%,87.0%,72%,44,38,4.8,68%
2025-01-27,Marketing,500,430,70,85%,86.0%,70%,16,13,5.2,63%
2025-01-27,People Ops,400,328,72,80%,82.0%,64%,8,6,5.8,60%
2025-02-03,Engineering,1800,1530,270,85%,85.0%,71%,44,36,4.9,68%
2025-02-03,Product,600,513,87,88%,85.5%,66%,28,22,5.4,63%
2025-02-03,Sales & CS,1200,1026,174,85%,85.5%,70%,51,43,5.1,66%
2025-02-03,Marketing,500,425,75,85%,85.0%,68%,18,14,5.7,61%
2025-02-03,People Ops,400,320,80,80%,80.0%,62%,9,7,6.3,57%
2025-02-10,Engineering,1800,1539,261,85%,85.5%,73%,42,35,4.7,69%
2025-02-10,Product,600,519,81,88%,86.5%,68%,26,21,5.2,64%
2025-02-10,Sales & CS,1200,1038,162,85%,86.5%,72%,48,40,4.9,67%
2025-02-10,Marketing,500,433,68,85%,86.5%,70%,16,13,5.4,62%
2025-02-10,People Ops,400,332,68,80%,83.0%,65%,8,6,5.6,61%
